origin,origin_name,destination_code,destination_name,country_code,currency,price,depart,booking_link
SIN,Singapore,GRU,"Sao Paulo, Brazil",BR,USD,1275,2026-07-21,https://www.aviasales.com/search/SIN2107GRU1?t=WY17846640001784802900002975SINBAHDXBMCTDOHGRU_fe43a4de0f8509a60937cc5cf0d7f9d8_98803&search_date=15072026&expected_price_uuid=019f649e-5e3f-8030-20bb-8d8c2f58ccfa&static_fare_key=TY%7CP0%7CH1%7CL1_1_25%7CCH1%7CR1%7CTBC1&itinerary_key=ysgtYq8MFHlzHKFzCeG6Sg&destination_airports=0&expected_price_source=share&expected_price_currency=usd&expected_price=1275&marker=741311
SIN,Singapore,LIM,"Lima, Peru",PE,USD,1292,2026-07-22,https://www.aviasales.com/search/SIN2207LIM1?marker=741311
HKG,Hong Kong,FNJ,"Pyongyang, North Korea",KP,USD,1235,2026-07-31,https://www.aviasales.com/search/HKG3107FNJ1?marker=741311
HKG,Hong Kong,LIM,"Lima, Peru",PE,USD,1287,2026-07-19,https://www.aviasales.com/search/HKG1907LIM1?marker=741311
HKG,Hong Kong,RIO,"Rio de Janeiro, Brazil",BR,USD,1306,2026-07-20,https://www.aviasales.com/search/HKG2007RIO1?marker=741311
HKG,Hong Kong,ANU,"Saint John's, Antigua and Barbuda",AG,USD,1321,2026-07-24,https://www.aviasales.com/search/HKG2407ANU1?marker=741311
HKG,Hong Kong,SCL,"Santiago, Chile",CL,USD,1357,2026-07-20,https://www.aviasales.com/search/HKG2007SCL1?marker=741311
HKG,Hong Kong,VAV,"Vava'u, Tonga",TO,USD,2154,2026-07-18,https://www.aviasales.com/search/HKG1807VAV1?marker=741311
HKG,Hong Kong,MAJ,"Majuro, Marshall Islands",MH,USD,2406,2026-07-23,https://www.aviasales.com/search/HKG2307MAJ1?marker=741311
TYO,Tokyo,TJM,"Tyumen, Russia",RU,USD,1212,2026-07-31,https://www.aviasales.com/search/TYO3107TJM1?marker=741311
TYO,Tokyo,SWF,"Newburgh, United States",US,USD,1356,2026-07-25,https://www.aviasales.com/search/TYO2507SWF1?marker=741311
